Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
892065,Goodies Mediterranean Market,13721 Lake City Way NE,,Seattle,WA,98125,3615,KING,Grocery Store,47.729126,-122.29234,,,-13613521.016717881,6061908.779147592
913923,Trader Joe's 140,15932 Redmond Way,,Redmond,WA,98052,3828,KING,Supermarket,47.675842,-122.12891,,,-13595328.072337536,6053094.929496123
1078356,Walgreens 10553,15585 NE 24th St,,Bellevue,WA,98007,3836,KING,Other,47.630722,-122.13341,,,-13595829.010046108,6045638.544037078
1062883,Pike Place Market PDA,85 Pike St,Ste 500,Seattle,WA,98101,2096,KING,Farmers and Markets,47.60865,-122.34115,,,-13618954.5210635,6041993.341361018
914840,Dollar Tree 4208,7808 NE Bothell Way,,Kenmore,WA,98028,3553,KING,Other,47.756329,-122.23653,,,-13607308.275936708,6066411.97754676
1062888,Pike Place Express at South Lake Union,410 Terry Ave N,,Seattle,WA,98109,5210,KING,Farmers and Markets,47.622299,-122.33675,,,-13618464.71530401,6044247.299468014
1050012,Walgreens 13087,4468 Stone Way N,,Seattle,WA,98103,7439,KING,Other,47.660889,-122.34216,,,-13619066.953749204,6050623.13116454
1638241,Sap Sap Deli & Mart,19246 15th Ave NE,,Shoreline,WA,98155,2300,KING,Convenience Store,47.769638,-122.31355,,,-13615882.103117608,6068616.0138472915
1596639,7-Eleven #16365F,6111 24th Ave NW,,Seattle,WA,98107,3211,KING,Convenience Store,47.673553,-122.3881,,,-13624180.971156243,6052716.50156451
1058308,Walmart 3098,15063 Main St,,Bellevue,WA,98007,    ,KING,Super Store,47.608986,-122.1395,,,-13596506.945745036,6042048.820409091
897525,East Hill AM/PM 82542,10402 SE 256th St,,Kent,WA,98030,7688,KING,Convenience Store,47.373047,-122.20174,,,-13603435.47085201,6003178.838624157
1602281,Walgreens 21452,951 Mercer St,,Seattle,WA,98109,4351,KING,Other,47.624348,-122.33804,,,-13618608.317447135,6044585.716459289
1056388,Fred Meyer 682,26520 Maple Valley-Black Diamond Rd SE,,Maple Valley,WA,98038,    ,KING,Super Store,47.363651,-122.02133,,,-13583352.321517996,6001634.493473775
1053722,Dollar Tree 4876,7816 Aurora Ave N,,Seattle,WA,98103,4754,KING,Other,47.685921,-122.34411,,,-13619284.026756248,6054761.433310404
1060294,Pike Place Market Express at City Hall,4TH Ave between James & Cherry St,City Hall Plaza,Seattle,WA,98101,    ,KING,Farmers and Markets,47.603592,-122.33062,,,-13617782.32682545,6041158.2266096175
1053853,Trader Joe's 157,4545 Fauntleroy Way SW,,Seattle,WA,98126,2739,KING,Supermarket,47.561703,-122.38088,,,-13623377.24443272,6034245.131376581
